wavelength,AF_CsPbI3,AF_FA0.25Cs0.75PbI3,AF_FA0.5Cs0.5PbI3,AF_FA0.75Cs0.25PbI3,AF_FAPbI3,TF_Cs0.25FA0.75PbI3,TF_Cs0.5FA0.5PbI3,TF_Cs0.75FA0.25PbI3,TF_CsPbI3_avg,TF_CsPbI3_black phase,TF_CsPbI3_yellow phase,TF_FAPbI3
381.51,970.354566,945.4038979999999,1029.4667,929.8046979999999,900.093578,730.25024,971.94446,992.9519,904.7868,931.0,1187.0,1124.2395
383.52,907.761376,885.985078,1028.3239,917.9079879999999,875.331348,701.5439,920.4393,923.7525,852.34924,655.0,1096.0,1060.677
385.52,810.450654,795.48638,905.3595,868.8224280000001,838.036888,688.818,856.5157,864.5584,798.3505,941.0,1164.0,982.10736
387.53,724.277324,725.0047059999999,825.99524,830.9265359999999,795.658074,656.05786,786.7898,797.65594,739.66425,741.0,589.0,905.1494
389.54,650.933808,662.3198199999999,762.34045,823.5779679999999,770.994338,640.8038,733.8614,744.54114,688.08563,769.0,655.0,848.81287
391.55,581.531544,604.185116,703.56665,799.647226,742.920298,621.4238,686.8576,690.4449,654.6287,898.0,892.0,803.80035
393.56,539.5289700000001,553.747706,652.8119,781.3786739999999,727.211442,600.84906,638.43195,632.1868,605.085,745.0,674.0,740.6182
395.57,495.045118,513.714302,626.31665,757.86511,700.402232,581.1577,604.1435,589.90485,567.5235,526.0,432.0,702.1922
397.58,451.63352,485.279256,581.94525,741.34271,678.6756,578.66254,581.1542,573.8577,548.42847,522.0,675.0,681.3904
399.6,414.61492,458.24197599999997,556.3381,728.580954,658.778564,557.22565,543.53796,536.16364,518.6259,545.0,526.0,648.6101
401.61,395.287506,447.4579519999999,562.5381,734.38032,667.497912,554.89685,524.92413,513.998,502.23642,381.0,467.0,635.8131
403.62,467.16407799999996,595.53043,671.70715,1100.39002,882.3067960000001,809.2482,703.9151,678.2069,673.7677,706.0,455.0,873.94415
405.64,360.86528200000004,435.458302,562.2595,730.09823,661.4881499999999,561.2685,517.2054,514.7114,500.4404,568.0,475.0,643.1121
407.66,350.980006,435.82556400000004,510.5476,713.84943,626.7953180000001,540.7128,504.82877,508.86893,491.3246,547.0,497.0,630.0221
409.68,343.622964,434.652058,505.32144,693.485002,602.0000259999999,529.694,503.71936,514.56635,492.9212,396.0,512.0,632.7824
411.7,346.714972,448.735184,506.9762,687.78282,596.881386,533.04395,514.67694,534.67755,508.96057,484.0,432.0,655.5724
413.72,358.194162,469.841298,511.47858,689.056302,595.259576,532.2552,528.5275,557.3546,523.3587,439.0,580.0,682.52185
415.74,364.045462,481.472114,518.5714,680.10063,587.2504,530.87146,538.2511,572.9778,535.8005,409.0,517.0,708.4698
417.76,375.58378200000004,493.401708,516.35474,677.952912,580.1024600000001,533.3799,548.90076,590.74146,545.7871,478.0,562.0,744.19543
419.78,375.509882,501.09207399999997,515.4857,671.90427,574.7709580000001,532.86505,557.47906,602.6046,553.3084,572.0,512.0,777.4281
